type,title,description,era,color,layout,theme,display_mode,media_type,year,image_url,in_rooms,in_galleries,in_vitrines
room,"Drachenfels & Burgruine","Der Drachenfels (321 m) ist das Wahrzeichen des Siebengebirges. Die Burgruine aus dem 12. Jahrhundert thront über dem Rhein und war Inspiration für Dichter wie Byron und Goethe. Heute besuchen jährlich über eine Million Menschen den Felsen.",mittelalter,#4A2C0A,,,,,,,,,
room,"Schloss Drachenburg","Das neogotische Schloss Drachenburg (1882–1884) gilt als Meisterwerk des Historismus am Rhein. Börsenmakler Stephan von Sarter ließ es in nur zwei Jahren errichten – heute Museum mit prunkvollen Innenräumen und englischem Landschaftsgarten.",historismus,#2E4057,,,,,,,,,
room,"Kloster Heisterbach & Siebengebirge","Das Zisterzienserkloster Heisterbach (1202 gegründet) war eines der bedeutendsten Klöster am Rhein. Die gotische Chorruine im Heisterbacher Tal zählt zu den eindrucksvollsten Zeugnissen mittelalterlicher Architektur in der Region.",mittelalter,#5D4037,,,,,,,,,
room,"Rhein & Königswinter","Der Rhein als Lebensader der Region: Schifffahrt, Fähren, Fischerei und Überflutungen prägten Königswinter seit Jahrhunderten. Von der Promenade blickt man auf das Siebengebirge-Panorama.",neuzeit,#1565C0,,,,,,,,,
room,"Stadtgeschichte Königswinter","Königswinter und seine Stadtteile Rhöndorf, Oberdollendorf und Niederdollendorf vereinen antike Römerstraßen, mittelalterliche Weinbaukultur und die Epoche des ersten deutschen Bundeskanzlers Konrad Adenauer.",neuzeit,#6D4C41,,,,,,,,,
room,"Natur & Geologie Siebengebirge","Das Siebengebirge – ein erloschenes Vulkangebiet aus dem Tertiär – beherbergt über 40 Gipfel, seltene Flora und Fauna sowie den weltberühmten Drachenfels-Trachyt. Als eines der ältesten Naturschutzgebiete Deutschlands steht es seit 1923 unter Schutz.",geologie,#33691E,,,,,,,,,
room,"Sagen & Legenden des Siebengebirges","Das Siebengebirge ist reich an Mythen: Von Siegfrieds Drachenkampf bis zur Rolandssage. Richard Wagner ließ sich für seinen Nibelungen-Ring inspirieren. Die Nibelungenhalle von 1913 bewahrt diese Tradition.",mittelalter,#6A1B9A,,,,,,,,,
room,"Beethoven & das Musikalische Bonn","Ludwig van Beethoven wurde am 17. Dezember 1770 in Bonn geboren. Sein Geburtshaus am Bonngässchen zählt zu den meistbesuchten Gedenkstätten Deutschlands. Bonns Musikkultur reicht weit über Beethoven hinaus.",neuzeit,#B71C1C,,,,,,,,,
room,"Bonn – Bundeshauptstadt am Rhein","Von 1949 bis 1991 war Bonn Bundeshauptstadt der Bundesrepublik Deutschland. Das Bundeshaus, das Kanzlerbungalow und das Diplomatenviertel prägten die politische Nachkriegsgeschichte. Heute ist Bonn UN-Stadt mit 19 UN-Organisationen.",neuzeit,#1A237E,,,,,,,,,
room,"Bonn Altstadt & Universität","Die Bonner Altstadt mit dem Alten Rathaus, dem Münster und dem Marktplatz ist das historische Herz der Stadt. Die 1818 gegründete Rheinische Friedrich-Wilhelms-Universität zählt zu den renommiertesten deutschen Hochschulen.",neuzeit,#4E342E,,,,,,,,,
room,"Kölner Dom & Gotik","Der Kölner Dom ist eines der bedeutendsten gotischen Bauwerke der Welt. Seit 1248 im Bau, 1880 vollendet, steht er als UNESCO-Weltkulturerbe am Rheinufer. Über sechs Millionen Besucher kommen jährlich.",mittelalter,#263238,,,,,,,,,
room,"Köln – Römer & Antike","Köln, das römische Colonia Claudia Ara Agrippinensium (CCAA), war eine der bedeutendsten Städte nördlich der Alpen. Das Romano-Germanische Museum bewahrt das Erbe der über 400-jährigen Römerherrschaft.",antike,#4A148C,,,,,,,,,
room,"Kölner Brücken & Rheinleben","Über den Kölner Rhein führen zwölf Brücken. Die Hohenzollernbrücke mit ihren Liebesschlössern ist das meistüberquerte Eisenbahnbrücke Deutschlands. Das Rheinufer prägt das Stadtbild und das Leben der Kölner.",neuzeit,#006064,,,,,,,,,
room,"Kölner Stadtkultur & Karneval","Der Kölner Karneval – »Fastelovend« – ist das größte Straßenfest Deutschlands. Die Kölner Braukultur mit dem typischen Kölsch und die weltbekannten Museen machen Köln zu einem einzigartigen Kulturzentrum.",neuzeit,#E65100,,,,,,,,,
room,"Bad Godesberg & Voreifel","Bad Godesberg, der vornehme Bonner Süden, war Diplomatenstadtteil und Kurort. Die Godesburg – einst Kurfürstliche Residenz – thront über dem Rhein. Die Voreifel mit dem Siebengebirge bildet eine einzigartige Kulturlandschaft.",neuzeit,#37474F,,,,,,,,,
object,"Bayernfenster Kölner Dom","Das Bayernfenster von König Ludwig I. (1848) – das erste vollständige Programmbild-Fenster der Neugotik.",historismus,,,,,,image,1848,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Gerhard-Richter-Fenster","Das moderne Zufallsmuster-Fenster von Gerhard Richter (2007) – umstrittenstes und meistdiskutiertes Fenster des Doms.",neuzeit,,,,,,image,2007,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Dom-Türme Aussichtsplattform","Blick vom Südturm des Kölner Doms über die Stadt und den Rhein – auf 97 Metern Höhe.",neuzeit,,,,,,image,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Dombaumeister-Portrait","Historisches Portrait des neugotischen Dombaumeisters Ernst Friedrich Zwirner – Vollender des Doms ab 1833.",historismus,,,,,,image,1840,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Dom-Grundriss 1248","Rekonstruktionszeichnung des gotischen Domgrundrisses nach dem Hochmittelalter-Plan.",mittelalter,,,,,,document,1248,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Römerturm Köln","Der Römerturm – Teil der spätantiken Stadtmauer Kölns aus dem 4. Jahrhundert – an der Zeughausstraße.",antike,,,,,,image,300,,"Köln – Römer & Antike","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Dionysus-Mosaik Köln","Das berühmte Dionysus-Mosaik (3. Jh. n. Chr.) im Romano-Germanischen Museum – eines der schönsten Bildmosaike nördlich der Alpen.",antike,,,,,,image,230,,"Köln – Römer & Antike","Römerzeit in Köln","Dionysus-Mosaik & Alltagskultur"
object,"Römisches Praetorium Köln","Ausgrabungen des römischen Prätoriums – Sitz der Provinzgouverneure – unter dem Kölner Rathaus.",antike,,,,,,image,100,,"Köln – Römer & Antike","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Grabmal aus Köln-Weiden","Das Grabmal einer wohlhabenden Römerfamilie (4. Jh.) in Köln-Weiden – vollständig erhaltenes Kammergrab.",antike,,,,,,image,350,,"Köln – Römer & Antike","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Römische Alltagsgegenstände aus Köln","Schmuck, Gefäße und Werkzeuge aus den Ausgrabungen des Romano-Germanischen Museums.",antike,,,,,,image,200,,"Köln – Römer & Antike","Römerzeit in Köln","Dionysus-Mosaik & Alltagskultur"
object,"Rekonstruktion Römisches Köln","Computerrekonstruktion des römischen Köln um 300 n. Chr. – Stadtplan mit Forum, Tempel und Hafen.",antike,,,,,,image,300,,"Köln – Römer & Antike","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Römische Inschriftenstele Köln","Grabstele mit lateinischer Inschrift eines Legionssoldaten aus dem 2. Jahrhundert.",antike,,,,,,image,150,,"Köln – Römer & Antike","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Hohenzollernbrücke – Panoramablick","Die Eisenbahnbrücke mit Liebesschlössern im Sonnenuntergang – das romantischste Wahrzeichen Kölns.",neuzeit,,,,,,image,1911,,"Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Hohenzollernbrücke & Liebesschlösser"
object,"Liebesschlösser Hohenzollernbrücke","Detail der über 500.000 Liebesschlösser – ein modernes Ritual der Weltstadt am Rhein.",neuzeit,,,,,,image,,"Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Hohenzollernbrücke & Liebesschlösser"
object,"Deutzer Brücke bei Nacht","Die Deutzer Brücke spiegelt sich im beleuchteten Rhein – Nachtfotografie Kölns.",neuzeit,,,,,,image,1948,,"Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Hohenzollernbrücke & Liebesschlösser"
object,"Rheinufer Köln – Altstadt","Das belebte Kölner Rheinufer mit Altstadt-Silhouette: Dom, Groß St. Martin und historische Häuserfront.",neuzeit,,,,,,image,,"Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Hohenzollernbrücke & Liebesschlösser"
object,"Kölner Rheinschifffahrt historisch","Dampfschiffe und Ruderboote auf dem Kölner Rhein um 1900 – Industriezeitalter am Strom.",neuzeit,,,,,,image,1900,,"Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Hohenzollernbrücke & Liebesschlösser"
object,"Kölner Karneval – Rosenmontagszug","Der Rosenmontagszug mit Wagen, Bands und Hunderttausenden Narren – größtes Straßenfest Deutschlands.",neuzeit,,,,,,image,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölner Karneval – Fastelovend"
object,"Kölner Dreigestirn","Prinz, Bauer und Jungfrau – das Kölner Dreigestirn in historischen Kostümen beim Rathaussturm.",neuzeit,,,,,,image,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölner Karneval – Fastelovend"
object,"Kölsch im Stangenglas","Das typische Kölsch-Glas (Stange) und Köbes – untrennbare Ikonen des Kölner Brauhauslebens.",neuzeit,,,,,,image,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölsch & Braukultur"
object,"Früh-Brauerei Köln","Historisches Foto der Kölner Brauerei Früh am Dom – seit 1904 Inbegriff Kölner Braukultur.",neuzeit,,,,,,image,1904,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölsch & Braukultur"
object,"Museum Ludwig Köln","Das Museum Ludwig beherbergt eine der bedeutendsten Pop-Art-Sammlungen weltweit – Werke von Warhol, Lichtenstein und Köln.",neuzeit,,,,,,image,1986,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölner Karneval – Fastelovend"
object,"Schokoladenmuseum Köln","Das Schokoladenmuseum am Kölner Rheinufer mit dem berühmten Schokobrunnen – meistbesuchtes Museum Kölns.",neuzeit,,,,,,image,1993,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölsch & Braukultur"
object,"Kölner Dom bei Nacht","Die beleuchtete Kathedrale spiegelt sich im Rhein – das ikonischste Nachtbild Kölns.",mittelalter,,,,,,image,,"Kölner Dom & Gotik|Kölner Stadtkultur & Karneval","Kölner Dom – Innen & Außen","Kölner Karneval – Fastelovend"
object,"Kölner Altstadt – Gross St. Martin","Die romanische Kirche Groß St. Martin prägt die Kölner Altstadtsilhouette seit dem 12. Jahrhundert.",mittelalter,,,,,,image,1172,,"Kölner Stadtkultur & Karneval","Karneval & Köln","Kölsch & Braukultur"
object,"Godesburg – Bergfried","Der erhaltene Bergfried der Godesburg (1210) mit Panoramablick über den Rhein und das Siebengebirge.",mittelalter,,,,,,image,1210,,"Bad Godesberg & Voreifel","Godesburg & Diplomatenquartier","Godesburg & Bad Godesberg"
object,"Godesburg – Rheinansicht","Historisches Gemälde der Godesburg aus der Rheinromantik – Caspar David Friedrich-Schule.",neuzeit,,,,,,image,1830,,"Bad Godesberg & Voreifel","Godesburg & Diplomatenquartier","Godesburg & Bad Godesberg"
object,"Kurpark Bad Godesberg","Der Kurpark Bad Godesberg mit altem Baumbestand und Kurhaus – Erholungsort des Bürgertums seit 1790.",neuzeit,,,,,,image,1790,,"Bad Godesberg & Voreifel","Godesburg & Diplomatenquartier","Diplomatenviertel & Kurstadt"
object,"Botschaftsvilla Bad Godesberg","Eine der repräsentativen Botschaftsvillen aus der Bonner Hauptstadtzeit – heute teils umgenutzt.",neuzeit,,,,,,image,1960,,"Bad Godesberg & Voreifel","Godesburg & Diplomatenquartier","Diplomatenviertel & Kurstadt"
object,"Grand Hotel Petersberg Bad Godesberg","Das luxuriöse Gästehaus der Bundesregierung auf dem Petersberg über Bad Godesberg.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Petersberg.jpg,"Bad Godesberg & Voreifel|Bonn – Bundeshauptstadt am Rhein","Godesburg & Diplomatenquartier","Diplomatenviertel & Kurstadt"
object,"Rhöndorfer Weinberge (Luftbild)","Luftaufnahme der Steilweinberge zwischen Rhöndorf und dem Drachenfels im Herbst.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Drachenfels_%28Siebengebirge%29_from_Rh%C3%B6ndorf.jpg,"Natur & Geologie Siebengebirge|Stadtgeschichte Königswinter","Siebengebirge Gipfelpanorama","Weinbaukultur am Drachenfels"
object,"Keltenwall Siebengebirge","Archäologischer Befund des keltischen Ringwalls auf dem Petersberg – Zeugnisse der Vorgeschichte.",antike,,,,,,image,500,,"Natur & Geologie Siebengebirge","Siebengebirge Geologie","Gipfelwelt & Aussichten"
object,"Bonner Stadthalle","Die Bonner Stadthalle am Rhein – Konzert- und Veranstaltungsstätte der Beethovenstadt Bonn.",neuzeit,,,,,,image,1926,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Sterntor Bonn","Das mittelalterliche Sterntor – letztes erhaltenes Stadttor Bonns aus dem 13. Jahrhundert.",mittelalter,,,,,,image,1244,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Rheinaue Bonn","Der Rheinaue-Park – moderner Landschaftspark auf dem Gelände der Bundesgartenschau 1979.",neuzeit,,,,,,image,1979,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Universität & Studentenleben"
object,"Alter Friedhof Bonn","Der Alte Friedhof Bonn mit den Grabmälern von Clara Schumann, Gottfried August Bürger und anderen Berühmtheiten.",neuzeit,,,,,,image,1715,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Kurfürstliches Schloss Bonn","Das Barockschloss der Kölner Kurfürsten, seit 1818 Hauptgebäude der Universität Bonn.",neuzeit,,,,,,image,1723,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Universität & Studentenleben"
object,"Fähre Mehlem – Königswinter","Die Autofähre zwischen Mehlem (Bad Godesberg) und Königswinter quert täglich den Rhein.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/8/81/F%C3%A4hre_bei_K%C3%B6nigswinter.jpg,"Bad Godesberg & Voreifel|Rhein & Königswinter","Rhein bei Königswinter","Rheinfähre & Flussleben"
object,"Heisterbacher Talsperre","Die Heisterbacher Talsperre im Siebengebirge – Trinkwasserversorgung und Naherholungsgebiet für Königswinter.",geologie,,,,,,image,1905,,"Natur & Geologie Siebengebirge","Heisterbacher Tal Natur","Heisterbacher Tal Natur"
object,"Siebengebirge-Panoramakarte 1850","Historische Panoramakarte des Siebengebirges mit Burgen, Wegen und Ortschaften von 1850.",neuzeit,,,,,,image,1850,,"Natur & Geologie Siebengebirge|Drachenfels & Burgruine","Historisches Siebengebirge","Gipfelwelt & Aussichten"
object,"Nibelungenlied – Manuskriptseite","Faksimile einer Handschriftenseite des mittelhochdeutschen Nibelungenlieds (Hs. C, 13. Jh.).",mittelalter,,,,,,document,1230,,"Sagen & Legenden des Siebengebirges","Nibelungenhalle Kunstwerke","Nibelungensage & Siegfried"
object,"Kölner Römerstraße – Augusta Treverorum","Der Verlauf der Römerstraße von Köln (CCAA) nach Trier durch das Rheinland – historische Karte.",antike,,,,,,image,100,,"Köln – Römer & Antike","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Beethoven-Haus Museum – Musicalien","Historische Musikalien, Erstdrucke und Ausgaben aus der Beethoven-Haus-Bibliothek.",neuzeit,,,,,,document,1800,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Werke & Manuskripte"
object,"Bonner Beethoven-Orchester","Das Beethoven Orchester Bonn – das städtische Orchester der Beethovenstadt bei einem Konzert.",neuzeit,,,,,,image,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Wachsfigur Konrad Adenauer","Historische Requisite einer Wachsfigur Adenauers aus einer Ausstellung des Rheinischen Landesmuseums.",neuzeit,,,,,,image,1960,,"Bonn – Bundeshauptstadt am Rhein|Stadtgeschichte Königswinter","Adenauer – Bilder einer Epoche","Kanzler & Regierung"
object,"Siebengebirge-Museum Königswinter","Das Siebengebirgsmuseum in Königswinter präsentiert Geologie, Geschichte und Kunst der Region.",neuzeit,,,,,,image,1908,,"Stadtgeschichte Königswinter","Königswinter historisch","Altstadt Königswinter & Marktplatz"
object,"Kölner Dom – Baukran 1248","Historische Illustration des mittelalterlichen Baukrans beim Dombau – Meisterwerk mittelalterlicher Ingenieurskunst.",mittelalter,,,,,,image,1248,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Blücher-Denkmal Bonn","Das Reiterdenkmal des Feldmarschalls Blücher auf dem Bonner Marktplatz – von Gottfried Schadow, 1826.",neuzeit,,,,,,image,1826,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Siebengebirge im Winter","Schneebedeckte Gipfel des Siebengebirges – der Ölberg weiß wie die Alpen im Januar.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/46/Herbstwald_im_Siebengebirge.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Flora & Fauna im Schutzgebiet"
object,"Kölner Dom von Deutz","Blick vom Deutzer Ufer auf den Dom und die Altstadt – das klassischste Kölner Panoramafoto.",mittelalter,,,,,,image,,"Kölner Dom & Gotik|Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Dom-Baustile & Baugeschichte"
object,"Rhein bei Mondnacht (Köln)","Romantische Nachtfotografie des Kölner Rheinufers mit Domspiegelung – typisches Köln-Motiv.",neuzeit,,,,,,image,,"Kölner Brücken & Rheinleben","Kölner Rheinufer & Brücken","Hohenzollernbrücke & Liebesschlösser"
object,"Siebengebirge – Wanderkarte 1930","Historische Wanderkarte des Siebengebirges mit eingezeichneten Wanderwegen und Gaststätten.",neuzeit,,,,,,image,1930,,"Natur & Geologie Siebengebirge","Siebengebirge Geologie","Gipfelwelt & Aussichten"
object,"Kölner Stadtmauer – Hahnentor","Das mittelalterliche Hahnentor – einer der wenigen erhaltenen Stadttore der romanischen Kölner Stadtmauer.",mittelalter,,,,,,image,1200,,"Köln – Römer & Antike|Kölner Stadtkultur & Karneval","Römerzeit in Köln","Römerstadt Köln – CCAA"
object,"Beethoven-Gedenktafel am Geburtshaus","Die historische Gedenktafel am Geburtshaus Beethovens am Bonngässchen – angebracht 1827.",neuzeit,,,,,,image,1827,,"Beethoven & das Musikalische Bonn","Beethoven Portraits & Dokumente","Beethovens Geburtshaus & Jugend"
object,"Bonner Münster – Innenraum","Das romanische und gotische Innere des Bonner Münsters mit hohem Chor und Mosaikboden.",mittelalter,,,,,,image,1150,,"Bonn Altstadt & Universität","Bonner Altstadt Impressionen","Bonner Münster & Kirchen"
object,"Siebengebirge – erste Schutzmaßnahmen 1836","Historisches Dokument zum ersten Schutzversuch des Siebengebirges durch die preußische Regierung.",geologie,,,,,,document,1836,,"Natur & Geologie Siebengebirge","Siebengebirge Geologie","Flora & Fauna im Schutzgebiet"
object,"Engelsbertusschrein Köln","Der vergoldete Engelsbertusschrein (1220–1230) im Kölner Domschatz – Meisterwerk des Nikolaus von Verdun-Umkreises.",mittelalter,,,,,,image,1225,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Domschatzkammer & Reliquien"
object,"Kölner Dom – Südportal","Das mittelalterliche Südportal mit Tympanon und Maßwerk – Haupteingang des Doms aus dem 14. Jahrhundert.",mittelalter,,,,,,image,1370,,"Kölner Dom & Gotik","Kölner Dom – Innen & Außen","Dom-Baustile & Baugeschichte"
object,"Heisterbach – Grabstein Abt Cäsarius","Grabstein des berühmten Heisterbacher Abts Cäsarius von Heisterbach (1170–1240), Autor der Dialogus Miraculorum.",mittelalter,,,,,,image,1240,,"Kloster Heisterbach & Siebengebirge","Klosterruine alle Jahreszeiten","Klosterleben & Mönche"
object,"Siebengebirge Frühling – Kirschblüte","Kirschblüte am Fuß des Drachenfels im April – ein Frühlingswunder in der Rheinregion.",geologie,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/4/46/Herbstwald_im_Siebengebirge.jpg,"Natur & Geologie Siebengebirge","Siebengebirge Gipfelpanorama","Flora & Fauna im Schutzgebiet"
